text	label
乐易玲将与马赛谈话：不希望她为爱情影响工作	6
沪宁高铁拉开序幕 交通一体化重构长三角格局	4
日本气象厅解除海啸警报 目前尚无伤亡报告	3
男子听算命师建议去外地散心改运 惨遭10人狂殴	2
男篮四国赛开战 中国国奥队首场61-40轻取德国	7
武汉卓尔主场通过验收 足协官员称硬件条件一流	7
刘威儿子星范儿足 妈妈接送风尘仆仆(图)	6
香港一名中医师涉非法管有抗生素受查	2
"霍震霆与百名香港球迷现场助威香港""省港杯""夺冠"	7
"《变形金刚2》公布机器人名单 弃用""威震天""？"	6
莱昂纳多北京宣传新戏 现场写下“小李”汉字	6
慰安妇结婚后曾八次产下死胎 女儿被同学嘲笑	5
CBA饭碗难端马库斯濒临下岗 山西球迷纷纷支招	7
外媒：埃及首都球迷骚乱已造成至少30人死(图)	3
国民经济运行发布会或将21日召开 公布09年数据	4
台湾“九合一”选举资料：屏东县长参选人一览	2
北京排查台湾问题饮料 一经发现就地封存	4
锦上添花易雪中送炭难 中国女排应多打逆境球	7
同花顺发行价52.8元 对应09年市盈率50倍	4
舜天冲亚冠球迷不乐观:大牌外援没影 引援进度慢	7
福岛核电站反应堆辐射量超千万倍 工作人员撤离	3
曝桑兰曾遭监护人之子猥亵 经纪人发飙爆粗口	7
台官员：台北若发生6.3级地震 房屋恐倒4000栋	2
强震吓坏民众 外佣拿刀断掌女子尖叫下巴脱臼	2
科学家王俊：只想做让老百姓实实在在受益的事	5
主裁判场上滥用职权 暂停比赛吃东西引众怒(图)	7
青海唐古拉地区发生3.5级地震 震源深度10千米	1
意大利一座金库500公斤黄金被劫 劫匪逃之夭夭	3
习近平在2015减贫与发展高层论坛上的主旨演讲	1
入冬台湾游渐热 南航乌市台北航线客座率超八成	2
近30档喜剧真人秀消亡 业内：选手难找、创意缺乏	6
中国烹饪协会表示将积极推动两岸餐饮合作	2
《最强大脑》Dr.魏被评“都教授” 回应：没看过	6
李克强致电云南书记要求绝不放弃救人	1
台湾生物科技大展搬到苏州 “借船”进军大陆市场	2
"""我是歌手""本周总决赛 黄贯中、尚雯婕将回归表演"	6
能动英语李相阳：甩掉“金饭碗”再“疯”一把	4
香港迪斯尼第三家酒店获政府注资支持	2
专家谈私家藏书：孔子是中国第一代私人藏书家	5
中德热身赛难成行 知情人:不利于国足备战12强赛	7
NASA造史上最大火箭 有望送人上火星（图）	5
笨贼不识宝偷古董小提琴 有172年历史价值250万	2
学者：“蚁族”已无法回头 物质贫乏但精神强大	5
